repository,LCOM5,NL,NLE,WMC,CBO,CBOI,NII,NOI,RFC,CD,CLOC,DIT,NOA,NOC,NOD,NOP,LOC,LLOC,NA,NM,NLA,NLM,NOS,TLOC,TLLOC,TNA,TNM,TNLA,TNLM,TNOS
cfpb_consumerfinance.gov,2.2620215897939158,0.0,0.0,3.5829244357212953,0.11187438665358194,0.0,0.0,0.0873405299313052,2.7909715407262023,0.0,2.227674190382728,0.05986261040235525,0.05986261040235525,0.05986261040235525,0.05986261040235525,0.05986261040235525,40.63788027477919,35.097154072620214,0.0,2.842001962708538,0.0,2.703631010794897,11.525024533856723,41.10107948969578,35.556427870461235,0.0,2.872423945044161,0.0,2.7134445534838076,11.538763493621197
facebookresearch_ParlAI,2.062176165803109,0.0,0.0,6.859671848013817,0.4162348877374784,0.0,0.0,0.3609671848013817,3.1748704663212437,0.0,10.961139896373057,0.3687392055267703,0.3803972366148532,0.3026770293609672,0.3803972366148532,0.3026770293609672,54.18091537132988,44.931347150259064,0.0,5.026338514680484,0.0,2.813903281519862,19.93782383419689,54.19516407599309,44.939982728842836,0.0,5.065198618307426,0.0,2.8173575129533677,19.944732297063904
apollos_opencv-practice,2.0,0.0,0.0,5.912832929782082,0.01937046004842615,0.0,0.0,0.12832929782082325,2.8934624697336564,0.0,16.929782082324454,0.01937046004842615,0.01937046004842615,0.01937046004842615,0.01937046004842615,0.01937046004842615,51.389830508474574,26.661016949152543,0.0,2.8813559322033897,0.0,2.765133171912833,19.966101694915253,51.389830508474574,26.661016949152543,0.0,2.8813559322033897,0.0,2.765133171912833,19.966101694915253
Mikubill_sd-webui-controlnet,2.6939571150097468,0.0,0.0,8.96393762183236,0.33723196881091616,0.0,0.0,0.4249512670565302,3.898635477582846,0.0,18.189083820662766,0.10331384015594541,0.10721247563352826,0.09941520467836257,0.10721247563352826,0.09941520467836257,72.93859649122807,56.919103313840154,0.0,3.853801169590643,0.0,3.473684210526316,28.167641325536064,72.98148148148148,56.960038986354775,0.0,3.9717348927875245,0.0,3.478557504873294,28.183235867446395
dragonpilot-community_dp-devel,2.8891402714932126,0.0,0.0,12.352941176470589,0.20361990950226244,0.0,0.0,0.3212669683257919,4.221719457013575,0.0,7.452488687782806,0.07013574660633484,0.0746606334841629,0.06787330316742081,0.0746606334841629,0.06787330316742081,67.99321266968326,52.5,0.0,4.052036199095022,0.0,3.9004524886877827,36.748868778280546,68.02262443438914,52.529411764705884,0.0,4.104072398190045,0.0,3.9004524886877827,36.748868778280546
pyodide_pyodide,2.4239130434782608,0.0,0.0,4.130434782608695,0.31521739130434784,0.0,0.0,0.07608695652173914,2.9239130434782608,0.0,13.228260869565217,0.18478260869565216,0.18478260869565216,0.16304347826086957,0.18478260869565216,0.16304347826086957,35.5,27.902173913043477,0.0,4.3478260869565215,0.0,2.847826086956522,8.293478260869565,35.67391304347826,28.07608695652174,0.0,4.456521739130435,0.0,2.847826086956522,8.293478260869565
jorisschellekens_borb,3.0460921843687374,0.0,0.0,9.70941883767535,0.07615230460921844,0.0,0.0,0.03406813627254509,3.961923847695391,0.0,21.63326653306613,0.04008016032064128,0.04008016032064128,0.03406813627254509,0.04008016032064128,0.03406813627254509,132.6813627254509,107.3006012024048,0.0,4.052104208416834,0.0,3.9278557114228456,34.97394789579158,132.97394789579158,107.5190380761523,0.0,4.12625250501002,0.0,3.9478957915831665,35.100200400801604
spotDL_spotify-downloader,1.396551724137931,0.0,0.0,7.206896551724138,0.3620689655172414,0.0,0.0,0.034482758620689655,1.8275862068965518,0.0,21.017241379310345,0.034482758620689655,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,67.84482758620689,50.94827586206897,0.0,1.793103448275862,0.0,1.793103448275862,17.82758620689655,67.84482758620689,50.94827586206897,0.0,1.793103448275862,0.0,1.793103448275862,17.82758620689655
Rapptz_discord.py,2.9788838612368025,0.0,0.0,7.46606334841629,0.44042232277526394,0.0,0.0,0.13725490196078433,3.5052790346907994,0.0,24.184012066365007,0.37104072398190047,0.38009049773755654,0.30165912518853694,0.38009049773755654,0.30165912518853694,60.717948717948715,45.45399698340875,0.0,4.171945701357466,0.0,3.368024132730015,14.951734539969834,60.7209653092006,45.457013574660635,0.0,4.254901960784314,0.0,3.3936651583710407,14.971342383107089
networkx_networkx,5.6735751295336785,0.0,0.0,10.791018998272884,0.3022452504317789,0.0,0.0,0.22452504317789293,6.867012089810017,0.0,20.248704663212436,0.2659758203799655,0.26770293609671847,0.20207253886010362,0.26770293609671847,0.20207253886010362,104.74611398963731,85.62003454231433,0.0,8.373056994818652,0.0,6.642487046632124,46.22452504317789,104.93264248704664,85.73747841105354,0.0,8.57685664939551,0.0,6.689119170984456,46.30224525043178
