repository,McCC,NL,NLE,NII,NOI,CD,CLOC,DLOC,TCD,TCLOC,LLOC,LOC,NOS,NUMPAR,TLLOC,TLOC,TNOS
commaai_openpilot,3.1701623815967523,0.0,0.0,0.0,0.3863328822733423,0.0,1.503382949932341,0.1671177266576454,0.0,1.5148849797023003,11.791948579161028,14.777740189445195,9.37043301759134,1.9533152909336944,11.921177266576455,14.93335588633288,9.480040595399188
mitmproxy_mitmproxy,2.1052631578947367,0.0,0.0,0.0,0.3584962406015037,0.0,0.8688721804511278,0.4815037593984962,0.0,0.8712781954887218,9.206315789473685,10.46406015037594,5.457443609022556,1.953684210526316,9.324812030075188,10.585263157894737,5.53203007518797
PaddlePaddle_PaddleOCR,2.8688789963577497,0.0,0.0,0.0,0.3787940105220558,0.0,1.5082962363415622,0.8405503844597328,0.0,1.5151760420882234,16.5014164305949,19.20356131121004,10.734925131525696,3.292594091460947,16.657223796033993,19.368676649129903,10.838122217725616
nvbn_thefuck,1.325925925925926,0.0,0.0,0.0,0.1925925925925926,0.0,0.4666666666666667,0.4185185185185185,0.0,0.4666666666666667,5.644444444444445,6.207407407407407,2.774074074074074,2.162962962962963,5.696296296296296,6.274074074074074,2.7962962962962963
XX-net_XX-Net,3.207409212771143,0.0,0.0,0.0,0.5898123324396782,0.0,3.438459663660736,2.546429441871801,0.0,3.450402144772118,10.68754569826956,15.454058006336826,7.801364854984158,2.152083841091884,10.724835486229589,15.499390689739217,7.826224713624177
tiangolo_fastapi,1.89119170984456,0.0,0.0,0.0,0.0880829015544041,0.0,0.3834196891191709,0.0103626943005181,0.0,0.38860103626943,16.502590673575128,17.031088082901555,3.4974093264248705,6.61139896373057,17.321243523316063,17.854922279792746,3.808290155440415
pytorch_pytorch,1.8559431392228756,0.0,0.0,0.0,0.3817414637143852,0.0,1.495483500952459,0.5305913438889003,0.0,1.6370414370864996,10.91700292906741,13.513836258986911,6.3577149177608,1.9963949939575183,12.938591999344544,15.769955551914135,7.586940046291555
huggingface_transformers,2.5662500354278266,0.0,0.0,0.0,0.2400022673808916,0.0,2.850126123062098,1.754017515517388,0.0,2.8753507354816765,15.002239038630504,19.53558370886829,7.950854519173539,3.325114077601111,15.190573363942976,19.77073944959329,8.058300031176488
Textualize_rich,2.828125,0.0,0.0,0.0,0.3004807692307692,0.0,2.907451923076923,2.753605769230769,0.0,2.9555288461538463,11.03125,14.42548076923077,5.902644230769231,2.668269230769231,11.43389423076923,14.893028846153848,6.1610576923076925
yt-dlp_yt-dlp,4.113026052104209,0.0,0.0,0.0,0.5392785571142285,0.0,0.6707414829659318,0.1270541082164328,0.0,0.7200400801603206,19.00440881763527,21.552905811623248,9.789178356713428,2.365731462925852,20.04228456913828,22.67114228456914,10.4501002004008
