gunthercox/ChatterBot,4112,135184,20504,299152,1063488,301078,1096724,603418,0,810291,843448,0,0,1949335,2014942,2031347,0,2097117,2097143
hankcs/HanLP,528,524560,1052690,301072,15378,1675282,1086746,0,1318832,2054289,2039378,761716,0,1040211,0,1957791,2080727,2080759,0
horovod/horovod,4112,560,5168,790800,0,757780,73265,546871,1220248,1326870,0,0,1810011,1040213,1882879,1949655,2096735,2031551,0
hpcaitech/ColossalAI,2064,1049616,0,333840,71826,0,1610005,766608,1343248,433394,1579901,1883857,1982014,0,2031445,2072535,2080638,2031613,2097143
httpie/cli,131088,4144,200720,6424,545360,529972,0,793174,0,0,1645243,1637493,1907671,1047162,1892341,0,2072447,2080735,2097119
huggingface/diffusers,1048592,4114,0,5202,725009,603184,0,931408,0,1646357,726908,1859285,1687257,0,1990463,2023357,2072567,0,2097119
huggingface/transformers,17,4114,4625,69714,0,0,203286,1064593,0,808509,482198,745456,0,0,2047859,2056095,2080607,2080735,0
HumanSignal/label-studio,524304,5136,527376,1055760,0,5560,1382421,1316951,858992,1881904,1628081,793597,1908469,0,0,2096853,2080733,2096863,2097119
ipython/ipython,1040,5136,2577,1053202,537168,888856,792338,1072690,0,882450,897591,1007442,973495,0,2031322,2072287,1818621,0,2097119
jantic/DeOldify,4112,0,20528,38416,626708,888856,1578261,138775,816944,1874740,0,0,827255,0,1031926,1703932,2080733,2097141,2097119
jina-ai/jina,65552,0,4208,6200,136592,561714,1608468,572528,0,1776338,0,1981846,892638,0,2014783,1957853,0,2097111,0
karlproject/karl,4608,135184,1315072,0,300049,1579281,0,1350320,1449011,0,1939998,1760946,917332,2015126,0,1965975,2080695,0,2088959
keras-team/keras,17,525328,135312,12848,856144,332053,432209,857328,1611353,2085908,0,1351031,0,2072246,1949307,0,2080503,0,2097119
kivy/kivy,18,112,530448,4123,38937,0,1937432,449041,841361,0,425585,1597302,1949241,0,2014846,1031903,1048415,2096831,2097143
LAION-AI/Open-Assistant,524304,264208,45072,528468,5276,1184849,529687,579280,301877,0,818872,696252,0,1965784,2088572,2087895,2088702,2097148,2097119
Lightning-AI/lightning,2064,0,1052696,545808,1060916,1839125,0,46675,1611287,1932048,1022769,1914713,1826358,0,2080535,0,2088695,0,2097119
lllyasviel/ControlNet,1048592,557072,524820,529040,38096,349201,1743376,0,0,1874490,1973914,0,2087761,2006846,2087607,1949535,1048535,2088927,2097119
lllyasviel/Fooocus,524304,0,1053712,7185,464912,1086128,807985,865812,302741,816918,0,835351,0,1949243,2064277,2031293,2088671,0,2097143
localstack/localstack,65552,655376,4117,267408,0,301616,0,695888,0,359574,1989270,1850967,966175,2072151,0,2088885,2072567,0,2097143
ludwig-ai/ludwig,4112,524312,0,268312,1061137,269337,400914,1875472,1003609,0,1620574,1473970,0,2006969,1032118,2080694,2080695,0,2080767
matplotlib/matplotlib,524304,0,524818,1576980,0,432148,0,538866,547576,417681,0,1981107,1760981,2030174,1825503,2072563,2015103,0,2097119
merenlab/anvio,1048592,132112,4656,791568,0,563282,793140,0,670238,1021521,0,817847,1940341,0,2031509,2063095,2080727,2080759,0
microsoft/nni,262160,4144,282640,856080,1642544,1054258,0,0,890641,1645273,1660531,0,1809207,827327,1031863,0,2096735,2088951,2097143
Mikubill/sd-webui-controlnet,1048592,528400,0,4630,0,660056,432209,8092,0,2028562,834966,1955358,0,777974,1867583,2023327,0,2097111,2088959
mindsdb/mindsdb,18,1572880,0,528532,1316888,0,1612308,570066,1587766,973488,0,1859351,909141,1884028,1924799,0,2096799,2096863,2097119
mitmproxy/mitmproxy,524304,4624,6672,136272,0,0,1855762,620570,1686288,0,0,1956502,909268,1851133,1023903,2015165,0,2096863,2097143
mlc-ai/mlc-llm,4112,532496,4688,1445904,626712,1853968,799380,0,0,343829,425816,1883740,0,2006877,0,2072510,2096855,0,2097119
mlflow/mlflow,131088,1048594,134160,20561,0,545814,865808,791891,335390,0,990806,1866327,1818142,786133,2030430,1040287,2080631,2097055,2096895
networkx/networkx,1040,135184,0,788500,1705232,0,267923,1618454,1351442,1580785,1645430,0,0,523163,1932895,2014967,2088695,2088703,2097143
nicolargo/glances,4112,1552,135312,4380,0,1580176,546449,556562,0,1629972,2037585,900818,1973943,900895,999287,2088885,1048542,2088951,2097119
numpy/numpy,18,0,1049108,536600,4698,529969,1618480,1448784,891792,941844,0,1751898,1875645,1974206,0,2072255,0,2031359,0
nvbn/thefuck,33280,4240,1060880,39184,791572,398992,922769,1383186,0,1366678,0,2030164,810623,1924919,0,2072311,1048311,2097111,2097119
