microsoft/DeepSpeed,65568,98336,98352,106544,630832,630834,630962,1679538,1941682,1958066,2089138,2089202,2090226,2090234,2090235,2090747,2092795,2093051,2093055
Lightning-AI/lightning,65568,98336,98352,106544,630832,630834,1679410,1941554,1024178,909554,1941754,2089202,2073338,2089659,2090235,2091771,2094587,2091007,2095103
lm-sys/FastChat,65568,65584,589872,360496,106672,107184,893488,894128,894640,1943216,2074288,1959602,2090674,2090738,2090746,2090750,2091006,2091007,2097150
geekcomputers/Python,65568,65584,98352,106544,630832,892976,630962,893106,1695922,1958066,1958074,2089202,2091250,2091258,2091259,2091515,2095611,2096383,2096639
OpenBB-finance/OpenBBTerminal,65568,98336,98352,98354,1146930,1147058,630962,1810482,2072626,1810611,1958130,2089202,2089210,2089722,2089723,2092475,2092795,2092031,2097147
httpie/cli,65568,65584,98352,622640,630832,884786,1679410,909362,909490,1958066,1942714,894203,1959155,2094266,2089726,2094579,2091003,2093051,2095103
aws/aws-cli,65568,65584,98352,622640,630832,368690,1417266,893106,894130,1811122,1041074,2090162,1959162,2090738,2090746,2094779,2094846,2097146,2097150
apache/tvm,65568,98336,98352,622640,368688,368690,631472,894002,1680050,894642,1943218,2074290,1945274,2074550,2074614,2090687,2091006,2091007,2093055
flairNLP/flair,32800,589856,98352,622640,630832,368690,630962,894002,894130,1942194,1942772,1959602,911091,2090738,1959675,2076411,2093050,2092799,2096895
pandas-dev/pandas,65568,98336,98352,598064,630832,630960,893104,647346,1941682,1941746,1942770,1946866,2089651,2089722,2090994,2091002,2093050,2091007,2097150
unifyai/ivy,65568,98336,98352,98354,360498,884786,630962,893106,894130,1024186,910522,1959098,2090226,2090682,2090742,1959934,2091006,2091007,2095103
babysor/MockingBird,65568,98336,98352,106544,630832,630834,1941552,1679538,1957938,1958066,1827058,2091122,2089203,2089466,2089215,2095355,2095359,2093051,2096127
ludwig-ai/ludwig,65568,98336,98352,622640,98482,892976,885298,631986,1946672,894138,911026,1943226,1042099,1959866,2090746,2094842,2090751,1961983,2095103
commaai/openpilot,65568,65584,98352,630816,630832,1679408,630962,1679418,893170,2073138,1945786,2090162,2089203,2089715,2089723,2090747,2091003,2095099,2093055
numpy/numpy,65568,65584,622624,622640,884784,892976,893104,1941680,894130,910514,1041586,1959154,2073850,2090230,2090994,2094586,2095098,2095102,2093055
ultralytics/ultralytics,65568,65584,589872,622640,630832,630834,892978,1679538,1679546,1941746,2072818,2072826,1959162,2090234,2090746,2091002,2090751,2092799,2093055
matplotlib/matplotlib,98304,98336,98352,360496,360498,360626,884914,901298,893114,1942706,1958130,2074290,2090226,2090234,2090994,2090747,2091003,2093051,2093055
python-poetry/poetry,65568,65584,622624,106544,630832,630834,1679410,1957936,1695922,1958066,1958578,1958642,2090226,2090227,2090739,2090747,2091003,2091007,2095103
mitmproxy/mitmproxy,65568,98336,98352,360496,884784,1679408,892978,910384,894130,1942194,1959090,2073842,2090170,2090482,2090686,2090998,2091006,2091007,2097150
lllyasviel/Fooocus,65568,98336,98352,622640,630832,630960,909360,647346,1941682,909554,2089138,2089146,2091187,2091762,2092282,2092283,2092791,2096891,2097147
google/jax,65568,98336,98352,622640,884784,892976,892978,909362,909490,1958066,1942770,2090162,2090226,2090234,2094578,2091002,2093050,2093051,2093055
aio-libs/aiohttp,65568,65584,98352,622640,368688,892976,368818,894128,778418,1958066,1959090,1959098,1041906,2090230,2092474,2092478,2091006,2091007,2097150
python/mypy,65568,98336,98352,622640,106546,623792,631984,1680560,894130,1025202,1959090,1041650,1959158,2078450,2090686,2090750,2091006,2095102,2093055
PaddlePaddle/PaddleNLP,65568,98336,589872,622640,622642,1671218,630962,1941554,1941682,1941746,1827058,2090162,2090163,2090738,2090746,2090747,2091003,2092799,2093055
huggingface/pytorch-image-models,65568,98336,73776,106544,630832,630834,892978,1941554,1941682,2072690,2089138,1958138,2089203,2091251,2091259,2092283,2092287,2096891,2096895
spotDL/spotify-downloader,65568,65584,98352,622640,106546,1671472,630835,631094,1695795,1683571,1700147,1701171,1831283,2077619,2093435,2094579,1964027,2095095,2095103
ytdl-org/youtube-dl,65568,98336,98352,622640,630832,892976,893104,1941680,1941682,1942706,2089138,1959154,2089658,2090738,1959930,2090743,2095098,2093051,2096895
Delgan/loguru,65568,98336,98352,622640,630832,630834,892978,1941554,1957938,1696946,1959218,2090098,1831666,2090230,2090483,2090743,2093046,2093054,2095103
borgbackup/borg,65568,98336,98352,360496,106672,884912,892978,893106,632242,1942194,1942962,1958582,1942974,1962994,2074614,2090998,2090999,1964031,2095103
pytorch/vision,65568,98336,98352,622640,106546,884786,1933362,909362,894130,910514,1959090,1959602,2090674,2090738,2090742,2092787,2093050,2092799,2093055
pyodide/pyodide,65568,65584,98352,360496,98482,892976,368818,893106,909490,1958066,909562,911858,2089210,2091450,2091514,2091518,2095870,2092543,2096639
facebookresearch/ParlAI,65568,98336,98352,360496,630832,630960,892978,1941554,1024184,1024179,1942258,2090162,1943034,1959614,2090994,2090998,2090943,2093047,2093055
gunthercox/ChatterBot,65568,98336,622624,622640,622642,630834,1155250,1941554,2072626,909554,2073266,2089139,2090226,1959674,2090746,2090747,2091003,2096891,2096895
keras-team/keras,65568,65584,98352,622640,622642,647216,1679410,762034,1695858,1696882,1959026,2090162,1827571,2092274,2092786,2094842,2093050,2092799,2093055
localstack/localstack,65568,65584,98352,630816,630944,892976,1933362,893106,2072626,2080946,2073778,2089146,2089395,2073851,2089726,2092538,2091003,2097146,2095103
Textualize/rich,65568,65584,98352,598064,622642,892976,630962,893106,1942578,1040562,1959090,1959098,2089651,2089715,2090739,2094842,2091003,2091007,2095103
lllyasviel/ControlNet,65568,65584,622624,106544,106672,884786,630962,893106,1941682,1958002,1943738,2073330,2090226,2090738,2090235,2090747,2092795,2092799,2093055
Ciphey/Ciphey,32800,98336,73776,106544,1155120,630834,1417266,1941554,1941682,1826874,1941754,1942266,2073338,2089722,2073598,2090747,2091003,2095099,2095103
psf/black,65568,98336,98352,106544,630832,630834,1286194,1679474,1957938,1826994,2072818,2090162,2089210,2075898,2091259,2096378,2096382,2093051,2096895
sqlmapproject/sqlmap,65568,98336,98352,360496,106672,892976,893104,909488,894130,1942706,1942962,1959346,1959858,1959670,1959930,2090942,1959935,2091007,2095103
ansible/ansible,65568,65584,98352,106544,106672,892976,893104,893106,894130,1942706,1958640,2090162,1959155,2090738,2092786,2090747,2091003,2094847,2095103
RasaHQ/rasa,65568,98336,98352,98354,98482,106674,892978,1934386,894130,1950898,1944754,1959346,2090418,2090930,2092726,2095090,2091006,2091007,2097150
LAION-AI/Open-Assistant,65568,98336,106528,622640,630832,631344,631346,1680434,632242,1942582,1942710,2077874,2074546,1943287,1959926,2090935,2074623,2095102,2095103
networkx/networkx,65568,98320,98352,106544,622642,892976,1941552,631986,1941682,909498,2072762,2089394,2090170,2090234,2090490,2090239,2092539,2091007,2095103
sanic-org/sanic,65568,98336,98352,98354,622642,630834,1679410,894002,1934514,1942706,1958706,2090162,2090226,1963258,2090746,2090747,2091006,2095099,2095103
yt-dlp/yt-dlp,65568,98336,98352,622640,368688,892976,893104,1941554,1941682,893178,1958578,2090162,2090674,2090482,2090686,2091002,2093050,2093054,2093055
