Repository,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
frappe/erpnext,32784,1081376,557104,0,221224,98843,104048,1671740,365366,112885,1300916,1819835,1700091,1160959,1962743,1832446,0,0,2096895
freqtrade/freqtrade,65568,65584,557104,557091,0,860210,1540656,772145,0,746045,1672319,1304639,1939442,1957235,1959671,2078587,2095031,1834943,2093055
google/jax,98304,327712,589920,0,101412,0,631012,1165620,0,866104,0,2073842,2090105,2090677,1964607,2095862,2091003,2096631,2095103
gradio-app/gradio,98304,98320,100353,237600,106531,108708,864308,1017968,0,1414513,1026740,255230,1042867,0,2074359,2095034,0,2097142,2095103
gunthercox/ChatterBot,98304,0,73761,0,99492,377904,1280049,0,1154162,0,895222,523448,0,1029109,1817590,1959679,2089983,2095099,0
hankcs/HanLP,48,8240,0,68656,614433,639028,1379888,886900,1148278,1813044,1648443,632574,1944057,0,2091955,2092787,2080507,2097083,2097147
horovod/horovod,81920,73760,106512,74848,0,623202,467568,1411377,778480,0,783600,635583,1942775,2073023,0,1834486,2096122,2094079,2097147
hpcaitech/ColossalAI,98304,98320,0,67633,99377,361136,888930,1804464,258609,0,0,766647,900474,1949049,0,2095486,2094075,0,2093055
httpie/cli,48,98312,73752,110608,74026,73969,204918,230455,0,1426102,882608,782582,913078,2074099,2076927,0,2094583,2097083,1966079
huggingface/diffusers,32800,36896,0,65889,49329,1409186,905249,1779888,1379064,639923,0,1303223,1700279,1962111,0,2076155,2080702,2092799,2096639
huggingface/transformers,98304,327712,67620,327730,594032,246064,1675301,651305,364090,0,1543223,783155,767295,1303999,0,915199,2092798,2092991,2097147
HumanSignal/label-studio,32800,204800,1114256,32821,376868,102427,0,237683,889961,1680611,0,256254,1828533,1937404,2096562,2096371,2078655,0,2095103
ietf-tools/datatracker,65568,589840,327728,0,73968,99696,0,0,1657584,1665520,644025,0,2074300,1697531,1959926,0,2080510,2094847,2095103
intel/dffml,98304,98336,98592,0,229488,648224,897120,1806992,1150193,0,1016309,519354,766459,0,2073855,1832191,2095867,1966078,2097147
ipython/ipython,65568,196640,0,70192,74145,196978,647458,774320,0,1802490,1697914,1945146,0,2078330,0,1047998,2080699,0,2095103
jantic/DeOldify,65552,525344,65697,100388,821296,493616,862245,643760,641203,0,1944627,2094180,0,1569469,1965548,2092022,2096830,1965823,2097147
jina-ai/jina,65568,49,98338,66352,99440,893024,885412,0,0,1421938,0,1937138,2081598,1816562,1947127,0,2096886,2097139,2096895
joke2k/faker,262176,69664,270384,329761,1638456,98979,1654842,622829,636336,890488,0,0,782711,0,2090940,2080505,1966067,0,1966079
jopohl/urh,1048608,589840,69680,0,229488,230288,112737,1646908,1294906,0,1964082,915114,1831545,0,1829819,2090687,0,2096635,0
jorisschellekens/borb,73728,65570,66208,229416,295992,0,1681448,625721,2034228,770552,0,1700030,1815537,2089715,0,0,1964799,2093047,2096639
jyrkioraskari/IFCtoLBD,98304,0,66600,0,557488,0,754217,229565,877296,0,1941679,1029041,1438458,2073587,1959678,1964026,2091006,2080766,2097143
karlproject/karl,589824,589856,0,622626,172144,229616,0,100084,1935668,630067,0,2073074,912819,1963702,2078582,1044219,2092030,0,2093055
keras-team/keras,65568,0,1114208,245792,102960,592049,1249464,1157682,0,499895,0,1781492,783858,1692159,1828599,0,0,2096767,2097150
kivy/kivy,65568,0,851984,78880,589990,102818,367652,0,890162,2072808,654505,2091248,2068284,0,2089467,2078459,2092539,0,2096895
kovidgoyal/calibre,65568,8240,557136,98345,860208,765984,827700,624695,0,1945128,516339,1025465,1420663,0,2090686,2078455,1959935,2095099,0
LAION-AI/Open-Assistant,65552,524336,86048,110656,1769632,100657,1151538,110949,754298,0,1172663,1420726,1025786,916214,1959419,0,0,2097022,2097143
Lightning-AI/lightning,65568,73760,0,1090080,115746,0,106709,0,632122,1034808,1025008,0,2077944,1700854,0,2096626,1964027,0,2096895
lllyasviel/ControlNet,40,65584,0,82272,213168,336112,0,602548,1803828,0,1935731,641775,780719,2075514,1556158,1961663,0,2093047,2097150
lllyasviel/Fooocus,16416,98308,0,9266,330528,577648,108976,112700,0,764092,654641,1811069,0,1944823,1028863,2092019,0,2096894,2096639
localstack/localstack,32784,98432,98848,590896,0,329786,368933,363746,1172534,1028276,768563,1682682,1959354,1825715,0,1046207,2094843,2095039,2096127
